company_name,website,country,city,founded_year,development_stage,description,is_demo
Sample Voltcraft,https://example.com/startups/voltcraft,Germany,Berlin,2016,Research,"Fictional Voltcraft company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample FluxHarbor,https://example.com/startups/fluxharbor,Denmark,Copenhagen,2017,Prototype,"Fictional FluxHarbor company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample ArcLeaf,https://example.com/startups/arcleaf,Netherlands,Delft,2018,Pilot,"Fictional ArcLeaf company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample CoreSwitch,https://example.com/startups/coreswitch,Sweden,Stockholm,2019,Demonstration,"Fictional CoreSwitch company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample SenseForge,https://example.com/startups/senseforge,France,Lyon,2020,Research,"Fictional SenseForge company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample RelayNorth,https://example.com/startups/relaynorth,Germany,Berlin,2021,Prototype,"Fictional RelayNorth company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample CellMeadow,https://example.com/startups/cellmeadow,Denmark,Copenhagen,2022,Pilot,"Fictional CellMeadow company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample DeepReserve,https://example.com/startups/deepreserve,Netherlands,Delft,2023,Demonstration,"Fictional DeepReserve company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample TwinCurrent,https://example.com/startups/twincurrent,Sweden,Stockholm,2016,Research,"Fictional TwinCurrent company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample DielectricLab,https://example.com/startups/dielectriclab,France,Lyon,2017,Prototype,"Fictional DielectricLab company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample CryoSpan,https://example.com/startups/cryospan,Germany,Berlin,2018,Pilot,"Fictional CryoSpan company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample StableLoop,https://example.com/startups/stableloop,Denmark,Copenhagen,2019,Demonstration,"Fictional StableLoop company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample WideVolt,https://example.com/startups/widevolt,Netherlands,Delft,2020,Research,"Fictional WideVolt company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample ThermalArc,https://example.com/startups/thermalarc,Sweden,Stockholm,2021,Prototype,"Fictional ThermalArc company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample GridSentinel,https://example.com/startups/gridsentinel,France,Lyon,2022,Pilot,"Fictional GridSentinel company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample PhaseSpring,https://example.com/startups/phasespring,Germany,Berlin,2023,Demonstration,"Fictional PhaseSpring company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample CopperFinch,https://example.com/startups/copperfinch,Denmark,Copenhagen,2016,Research,"Fictional CopperFinch company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample VectorOak,https://example.com/startups/vectoroak,Netherlands,Delft,2017,Prototype,"Fictional VectorOak company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample IonCrest,https://example.com/startups/ioncrest,Sweden,Stockholm,2018,Pilot,"Fictional IonCrest company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
Sample FieldNest,https://example.com/startups/fieldnest,France,Lyon,2019,Demonstration,"Fictional FieldNest company for demonstrating grid technology scouting. All activity, locations and development stages are synthetic.",True
